n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
1007,Iteracao 1007,0.005475,0.0051,0.005
1008,Iteracao 1008,0.002388,0.0022,0.0022
1009,Iteracao 1009,0.004131,0.0039,0.0038
1010,Iteracao 1010,0.004486,0.0042,0.0042
1011,Iteracao 1011,0.002689,0.0025,0.0024
1012,Iteracao 1012,0.001969,0.0018,0.0018
1013,Iteracao 1013,0.039142,0.0371,0.0375
1014,Iteracao 1014,0.003593,0.0033,0.0034
1015,Iteracao 1015,0.003119,0.0029,0.0027
1016,Iteracao 1016,0.003625,0.0033,0.0033
1017,Iteracao 1017,0.100796,0.0948,0.0956
1018,Iteracao 1018,0.008842,0.0077,0.0074
1019,Iteracao 1019,0.007411,0.0068,0.0067
1020,Iteracao 1020,0.004313,0.004,0.0039
1021,Iteracao 1021,0.013456,0.0125,0.0125
1022,Iteracao 1022,0.003141,0.0029,0.0029
1023,Iteracao 1023,0.005507,0.0051,0.0051
1024,Iteracao 1024,0.003959,0.0037,0.0035
1025,Iteracao 1025,0.00228,0.0021,0.002
1026,Iteracao 1026,0.011434,0.0107,0.0107
1027,Iteracao 1027,0.00953,0.0088,0.009
1028,Iteracao 1028,0.002377,0.0022,0.0021
1029,Iteracao 1029,0.003517,0.0033,0.0034
1030,Iteracao 1030,0.005432,0.005,0.0051
1031,Iteracao 1031,0.002291,0.0021,0.002
1032,Iteracao 1032,0.009025,0.0084,0.0085
1033,Iteracao 1033,0.00911,0.0084,0.008
1034,Iteracao 1034,0.004162,0.0044,0.0036
1035,Iteracao 1035,0.060278,0.0568,0.0574
1036,Iteracao 1036,0.003507,0.0031,0.0031
1037,Iteracao 1037,0.005314,0.004,0.0033
1038,Iteracao 1038,0.071389,0.067,0.0677
1039,Iteracao 1039,0.009703,0.0088,0.0085
1040,Iteracao 1040,0.005829,0.0054,0.0052
1041,Iteracao 1041,0.008616,0.0081,0.008
1042,Iteracao 1042,0.002829,0.0026,0.0025
1043,Iteracao 1043,0.004593,0.0044,0.0043
1044,Iteracao 1044,0.008175,0.0076,0.0044
1045,Iteracao 1045,0.003614,0.0032,0.0031
1046,Iteracao 1046,0.012875,0.012,0.0121
1047,Iteracao 1047,0.003818,0.0034,0.0037
1048,Iteracao 1048,0.011842,0.011,0.0078
1049,Iteracao 1049,0.004915,0.0044,0.0043
1050,Iteracao 1050,0.002011,0.0019,0.0019
1051,Iteracao 1051,0.004711,0.0044,0.0044
1052,Iteracao 1052,0.001936,0.0018,0.0018
1053,Iteracao 1053,0.002764,0.0026,0.0026
1054,Iteracao 1054,0.001893,0.0017,0.0017
1055,Iteracao 1055,0.007819,0.0073,0.0073
1056,Iteracao 1056,0.002172,0.002,0.002
1057,Iteracao 1057,0.004969,0.0046,0.0046
1058,Iteracao 1058,0.00526,0.0049,0.0049
1059,Iteracao 1059,0.001893,0.0017,0.0018
1060,Iteracao 1060,0.004926,0.0046,0.0046
1061,Iteracao 1061,0.002421,0.0022,0.0022
1062,Iteracao 1062,0.001937,0.0017,0.0018
1063,Iteracao 1063,0.005583,0.0052,0.0052
